player,category,source,line,prediction,model_prob_over,implied_prob,recommended_bet,expected_value,edge,confidence,odds,model_confidence,confidence_adjusted_edge,market_category,kelly_size_full,kelly_size_quarter
Ryan Fernandez,pitcher_strikeouts,prizepicks,4.5,1.3838578804621573,0.018881033396219493,0.5238095238095238,UNDER,1.0603498298679392,1.0603498298679392,VERY_HIGH,-110,0.9518225221484621,1.0092648494245946,PREMIUM,0.9633125475669886,0.24082813689174715
Ryan Fernandez,pitcher_strikeouts,underdog,4.5,1.3838578804621573,0.018881033396219493,0.5238095238095238,UNDER,1.0603498298679392,1.0603498298679392,VERY_HIGH,-110,0.9518225221484621,1.0092648494245946,PREMIUM,0.9633125475669886,0.24082813689174715
Zebby Matthews,pitcher_strikeouts,prizepicks,6.5,3.3515931160906423,0.01791118667031677,0.5238095238095238,UNDER,1.062386507992335,1.062386507992335,VERY_HIGH,-110,0.9492837546599229,1.008506253207008,PREMIUM,0.9652294250227246,0.24130735625568114
Nathan Eovaldi,pitcher_strikeouts,prizepicks,6.5,3.1754189248909297,0.01333249150685567,0.5238095238095238,UNDER,1.0720017678356033,1.0720017678356033,VERY_HIGH,-110,0.9406845962573275,1.0084155501635759,PREMIUM,0.9742305033436339,0.24355762583590848
Ryan Thompson,pitcher_strikeouts,underdog,6.5,3.3979542052565357,0.019318576179734648,0.5238095238095238,UNDER,1.0594309900225571,1.0594309900225571,VERY_HIGH,-110,0.9518225221484621,1.0083902769655124,PREMIUM,0.9624465634455245,0.24061164086138112
Aaron Judge,rbi,prizepicks,2.5,0.4999845836744956,0.02274929961869676,0.5238095238095238,UNDER,1.0522264708007367,1.0522264708007367,VERY_HIGH,-110,0.9583269098643732,1.008376942239965,PREMIUM,0.9556305451675831,0.23890763629189576
Max Muncy,total_bases,prizepicks,4.5,1.449640661046792,0.020997338621947526,0.5238095238095238,UNDER,1.0559055888939102,1.0559055888939102,VERY_HIGH,-110,0.9545230338690021,1.0078862061902505,PREMIUM,0.9591170401228959,0.23977926003072397
Junior Caminero,total_bases,prizepicks,4.5,1.6311597766668142,0.02790219274392647,0.5238095238095238,UNDER,1.0414053952377544,1.0414053952377544,VERY_HIGH,-110,0.9669888268518928,1.0070273814181878,PREMIUM,0.9453049820301621,0.23632624550754053
Ryan Pressly,pitcher_strikeouts,underdog,6.5,3.423803553190133,0.020143329174136526,0.5238095238095238,UNDER,1.0576990087343132,1.0576990087343132,VERY_HIGH,-110,0.9518225221484621,1.0067417381674222,PREMIUM,0.9608121893544846,0.24020304733862116
Kyle Hendricks,pitcher_strikeouts,prizepicks,5.5,1.1644312760556232,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9311138524889747,1.0046718468356037,PREMIUM,0.9807321594068581,0.24518303985171452
Ryan Pepiot,pitcher_strikeouts,prizepicks,6.0,2.9558422282845895,0.021206822795659996,0.5238095238095238,UNDER,1.055465672129114,1.055465672129114,VERY_HIGH,-110,0.9518225221484621,1.004615998087055,PREMIUM,0.9587007920556304,0.2396751980139076
Ryan Fernandez,pitcher_strikeouts,underdog,6.5,3.4855132761068925,0.022233708774585526,0.5238095238095238,UNDER,1.0533092115733704,1.0533092115733704,VERY_HIGH,-110,0.9518225221484621,1.0025634303619735,PREMIUM,0.9566578564654318,0.23916446411635794
Austin Hendrick,total_bases,prizepicks,3.5,0.7706125790213545,0.034410609852134066,0.5238095238095238,UNDER,1.0277377193105184,1.0277377193105184,VERY_HIGH,-110,0.9746739350904257,1.0017091671212424,PREMIUM,0.9321074917942479,0.23302687294856197
Austin Hendrick,total_bases,prizepicks,3.5,0.7706125790213545,0.034410609852134066,0.5238095238095238,UNDER,1.0277377193105184,1.0277377193105184,VERY_HIGH,-110,0.9746739350904257,1.0017091671212424,PREMIUM,0.9321074917942479,0.23302687294856197
Austin Hendrick,total_bases,prizepicks,3.5,0.7706125790213545,0.034410609852134066,0.5238095238095238,UNDER,1.0277377193105184,1.0277377193105184,VERY_HIGH,-110,0.9746739350904257,1.0017091671212424,PREMIUM,0.9321074917942479,0.23302687294856197
Austin Hendrick,total_bases,prizepicks,3.5,0.7706125790213545,0.034410609852134066,0.5238095238095238,UNDER,1.0277377193105184,1.0277377193105184,VERY_HIGH,-110,0.9746739350904257,1.0017091671212424,PREMIUM,0.9321074917942479,0.23302687294856197
